,state,year,FY,amount_spent,project_amount_outlay,gsdp_pc,population,business_ease,States_category,governance_score,hdi,gdi,Region,atc_losses
0,ANDAMAN & NICOBAR,2017,2016-17,600000.0,600000.0,,,,,,,,,
1,ANDAMAN & NICOBAR,2018,2017-18,2000000.0,2000000.0,,,,,,,,,
2,ANDAMAN & NICOBAR,2019,2018-19,408900.0,408900.0,,,,,,,,,
3,ANDHRA PRADESH,2015,2014-15,987900000.0,153224300000.0,93903,49577103.0,70.12,Big States,5.05,0.627,0.811,Southern,13.13
4,ANDHRA PRADESH,2016,2015-16,2954866504.0,5353384475.0,108002,49577103.0,98.78,Big States,5.05,0.633,0.819,Southern,12.88
5,ANDHRA PRADESH,2017,2016-17,1817176539.0,14664944756.0,120676,49577103.0,98.3,Big States,5.05,0.644,0.821,Southern,12.58
6,ANDHRA PRADESH,2018,2017-18,1354607387.01,322098838517.0301,138299,49577103.0,,Big States,5.05,0.646,0.821,Southern,12.28
7,ANDHRA PRADESH,2019,2018-19,1250318571.41,11893854438000.28,152286,49577103.0,,Big States,5.05,0.649,0.823,Southern,12.0
8,ANDHRA PRADESH,2020,2019-20,1331460399.49,4528075507.87,168480,49577103.0,,Big States,5.05,,,Southern,12.0
9,ANDHRA PRADESH,2021,2020-21,655771214.0,446919792.0,170215,49577103.0,,Big States,5.05,,,Southern,12.0
10,ARUNACHAL PRADESH,2015,2014-15,68400000.0,213500000.0,114789,1383727.0,1.23,NE & Hill,3.03,0.66,0.829,North Eastern,53.26
11,ARUNACHAL PRADESH,2016,2015-16,9500000.0,12000000.0,116985,1383727.0,0.3,NE & Hill,3.03,0.644,0.83,North Eastern,49.76
12,ARUNACHAL PRADESH,2017,2016-17,83300000.0,118400000.0,124129,1383727.0,,NE & Hill,3.03,0.655,0.831,North Eastern,46.26
13,ARUNACHAL PRADESH,2018,2017-18,24952000.0,71964000.0,138836,1383727.0,,NE & Hill,3.03,0.657,0.831,North Eastern,42.76
14,ARUNACHAL PRADESH,2019,2018-19,13424000.0,20903000.0,154652,1383727.0,,NE & Hill,3.03,0.661,0.834,North Eastern,39.26
15,ARUNACHAL PRADESH,2020,2019-20,23140000.0,73808000.0,169742,1383727.0,,NE & Hill,3.03,,,North Eastern,36.0
16,ARUNACHAL PRADESH,2021,2020-21,20000000.0,20000000.0,-,1383727.0,,NE & Hill,3.03,,,North Eastern,33.0
17,ASSAM,2015,2014-15,93600000.0,96600000.0,52895,31205576.0,14.48,NE & Hill,4.07,0.595,0.828,North Eastern,28.35
18,ASSAM,2016,2015-16,185331545.21,443507899.31,60817,31205576.0,14.29,NE & Hill,4.07,0.598,0.833,North Eastern,26.85
19,ASSAM,2017,2016-17,564578542.0,187110001382.58,66330,31205576.0,84.75,NE & Hill,4.07,0.608,0.835,North Eastern,25.35
20,ASSAM,2018,2017-18,750199755.37,1207468165.37,75151,31205576.0,,NE & Hill,4.07,0.61,0.834,North Eastern,23.85
21,ASSAM,2019,2018-19,970925437.0,107929048437.0,81034,31205576.0,,NE & Hill,4.07,0.613,0.839,North Eastern,22.0
22,ASSAM,2020,2019-20,1339145087.0,2600706256.0,86801,31205576.0,,NE & Hill,4.07,,,North Eastern,20.0
23,ASSAM,2021,2020-21,62895000.0,62895000.0,-,31205576.0,,NE & Hill,4.07,,,North Eastern,18.5
24,BIHAR,2015,2014-15,27200000.0,121200000.0,28671,104099452.0,16.41,Big States,4.4,0.554,0.773,Eastern,46.63
25,BIHAR,2016,2015-16,296607601.0,579697601.0,30404,104099452.0,75.82,Big States,4.4,0.559,0.78,Eastern,42.63
26,BIHAR,2017,2016-17,196713762.0,108618713762.0,34045,104099452.0,81.91,Big States,4.4,0.569,0.782,Eastern,38.13
27,BIHAR,2018,2017-18,130126600.0,57529101444.6,36850,104099452.0,,Big States,4.4,0.571,0.782,Eastern,34.0
28,BIHAR,2019,2018-19,335498787.04,5446611051626.04,40715,104099452.0,,Big States,4.4,0.574,0.782,Eastern,30.0
29,BIHAR,2020,2019-20,121040342.1,195056773.1,45071,104099452.0,,Big States,4.4,,,Eastern,27.0
30,BIHAR,2021,2020-21,166075000.0,166075000.0,46292,104099452.0,,Big States,4.4,,,Eastern,24.0
31,CHANDIGARH,2015,2014-15,2300000.0,22700000.0,212594,1055450.0,10.04,UTs,4.68,,,,
32,CHANDIGARH,2016,2015-16,32900000.0,36600000.0,230009,1055450.0,0.3,UTs,4.68,,,,
33,CHANDIGARH,2017,2016-17,179200000.0,792259500000.0,252236,1055450.0,11.54,UTs,4.68,,,,
34,CHANDIGARH,2018,2017-18,173103177.0,71819621351.0,280512,1055450.0,,UTs,4.68,,,,
35,CHANDIGARH,2019,2018-19,65209358.0,5583059647494.88,305140,1055450.0,,UTs,4.68,,,,
36,CHANDIGARH,2020,2019-20,43681654.75,35223509.75,330015,1055450.0,,UTs,4.68,,,,
37,CHANDIGARH,2021,2020-21,200000.0,200000.0,-,1055450.0,,UTs,4.68,,,,
38,CHHATTISGARH,2015,2014-15,574400000.0,707900000.0,72936,25545198.0,62.45,Big States,5.05,0.59,0.8,,
39,CHHATTISGARH,2016,2015-16,1798147500.0,2233018500.0,72991,25545198.0,97.32,Big States,5.05,0.596,0.81,,
40,CHHATTISGARH,2017,2016-17,597000000.0,100001473300000.0,83285,25545198.0,97.31,Big States,5.05,0.606,0.811,,
41,CHHATTISGARH,2018,2017-18,1208978476.0900002,58489102774.09,89690,25545198.0,,Big States,5.05,0.608,0.811,,
42,CHHATTISGARH,2019,2018-19,1029478561.0,101241858008923.0,98254,25545198.0,,Big States,5.05,0.611,0.813,,
43,CHHATTISGARH,2020,2019-20,1013839390.0,2261735409.0,105089,25545198.0,,Big States,5.05,,,,
44,CHHATTISGARH,2021,2020-21,799400000.0,2305200000.0,104943,25545198.0,,Big States,5.05,,,,
45,DADRA & NAGAR HAVELI,2015,2014-15,9900000.0,79000000.0,,,,UTs,3.12,0.661,0.814,,
46,DADRA & NAGAR HAVELI,2016,2015-16,40000000.0,21700000.0,,,1.79,UTs,3.12,0.647,0.817,,
47,DADRA & NAGAR HAVELI,2017,2016-17,7400000.0,161800000.0,,,21.88,UTs,3.12,0.658,0.818,,
48,DADRA & NAGAR HAVELI,2020,2019-20,120139693.0,104784000.0,,,,UTs,3.12,,,,
49,DADRA & NAGAR HAVELI,2015,2014-15,18600000.0,19200000.0,,,,UTs,3.12,0.661,0.814,,
50,DADRA & NAGAR HAVELI,2016,2015-16,5086000.0,25286000.0,,,1.79,UTs,3.12,0.647,0.817,,
51,DADRA & NAGAR HAVELI,2017,2016-17,6239401.0,12751050.0,,,21.88,UTs,3.12,0.658,0.818,,
52,DADRA & NAGAR HAVELI,2018,2017-18,36844602.0,26243602.1,,,,UTs,3.12,0.66,0.818,,
53,DADRA & NAGAR HAVELI,2019,2018-19,93955733.0,89061653.0,,,,UTs,3.12,0.663,0.821,,
54,DADRA & NAGAR HAVELI,2020,2019-20,9800423.0,9163936.0,,,,UTs,3.12,,,,
55,DAMAN & DIU,2015,2014-15,200100000.0,520100000.0,,,,UTs,4.33,0.688,0.838,,
56,DAMAN & DIU,2016,2015-16,3100000.0,5300000.0,,,14.58,UTs,4.33,0.692,0.842,,
57,DAMAN & DIU,2017,2016-17,0.0,0.0,,,28.69,UTs,4.33,0.702,0.844,,
58,DAMAN & DIU,2019,2018-19,222017.0,4053263.0,,,,UTs,4.33,0.708,0.848,,
59,DAMAN & DIU,2020,2019-20,6136999.0,9124999.0,,,,UTs,4.33,,,,
