State\UT,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21
Andhra Pradesh ,379402,380629,407115,444564,498606,540212,594737,623732,668848,651624
Arunachal Pradesh,11063,11299,12338,14383,14240,14894,15574,16620,17916,NA
Assam,143175,147342,154525,165212,191109,202081,219919,231040,237844,NA
Bihar,247144,256851,269650,279482,296488,318797,344028,381383,409645,419883
Chhattisgarh,158074,165977,182579,185813,190584,213705,220136,237695,249875,245452
Goa,42367,35850,31568,40116,46091,51249,52653,57406,53100,NA
Gujarat,615606,682650,734284,811428,894465,981342,1086570,1183020,1268957,NA
Haryana,297539,320912,347507,370535,413405,456709,487274,517080,559705,528070
Himachal Pradesh,72720,77384,82847,89060,96274,103055,109406,116570,122284,114729
Jammu & Kashmir,78256,80767,85115,82372,97001,100199,106584,116352,NA,NA
Jharkhand,150918,163250,165816,186534,174881,193174,210587,229274,238395,227082
Karnataka,606010,643033,704466,748429,831330,941774,1022862,1089271,1143781,1113818
Kerala,364048,387693,402781,419956,451210,485302,516190,549673,568636,NA
Madhya Pradesh,315562,351683,365134,383944,418736,470669,497148,529425,580406,560845
Maharashtra,1280369,1357942,1451615,1543165,1654284,1807046,1914621,2033314,2134065,NA
Manipur,12915,12993,14115,15245,16424,17082,18751,19300,20673,NA
Meghalaya,19918,20354,20726,20140,20638,21730,22564,23719,25190,23297
Mizoram,7259,7778,9038,11261,12324,13595,14758,16073,18034,NA
Nagaland,12177,12868,13793,14399,14660,15650,16440,16868,18121,NA
Odisha,230987,243363,265892,270665,292229,337348,361517,386395,412375,397473
Punjab,266628,280823,299450,312125,330052,352721,375406,397601,413578,386170
Rajasthan,434837,454564,486230,521509,563340,596746,624831,655713,688714,643222
Sikkim,11165,11421,12114,13071,14370,15397,17673,18625,19700,20434
Tamil Nadu,751486,791824,851976,893915,967562,1036762,1125793,1204667,1278559,1296659
Telangana,359434,370113,389957,416332,464542,507946,557410,612148,648595,644599
Tripura,19208,20873,22819,26965,26787,30538,33093,36754,40207,41799
Uttar Pradesh,724050,758205,802070,834432,908241,1011501,1057747,1123982,1166817,1092624
Uttarakhand,115328,123710,134182,141278,152699,167703,181043,191484,199718,NA
West Bengal,520485,542191,558497,574364,609545,653416,694980,739082,784424,792720
Andaman & Nicobar Islands,3978,4156,4488,4742,5092,5752,6464,6867,7198,NA
Chandigarh,18768,20285,22105,22870,24932,26917,28480,29597,31235,NA
Delhi,343798,366628,392908,428355,475623,511765,542015,573135,613843,578971
Puducherry,16818,17310,19170,18207,19060,20478,22308,26114,26202,25297
