State\UT,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21
Andhra Pradesh ,379402,411404,464272,524976,604229,684416,786135,870849,971224,986611
Arunachal Pradesh,11063,12547,14581,17959,18509,19902,22475,25268,28046,NA
Assam,143175,156864,177745,195723,227959,254382,283165,309336,335238,NA
Bihar,247144,282368,317101,342951,371602,421051,468746,527976,594016,618628
Chhattisgarh,158074,177511,206833,221118,225163,262802,282283,318101,344955,350270
Goa,42367,38120,35921,47814,55054,62976,69352,71853,74828,NA
Gujarat,615606,724495,807623,921773,1029010,1167156,1329095,1492156,1630240,NA
Haryana,297539,347032,399268,437145,495504,561424,644963,704957,780612,764872
Himachal Pradesh,72720,82820,94764,103772,114239,125634,138551,149442,162816,156522
Jammu & Kashmir,78256,87138,95619,98367,117168,124848,139659,160464,NA,NA
Jharkhand,150918,174724,188567,218525,206613,236250,269816,305695,321157,317079
Karnataka,606010,695413,816666,913923,1045168,1207608,1336914,1490624,1628928,1665320
Kerala,364048,412313,465041,512564,561994,634886,701588,790302,854689,NA
Madhya Pradesh,315562,380925,439483,479939,541068,649823,726338,813820,937405,917555
Maharashtra,1280369,1459629,1649647,1779138,1966225,2198185,2352782,2579628,2818555,NA
Manipur,12915,13743,16182,18129,19531,21294,25789,27870,31790,NA
Meghalaya,19918,21872,22938,23235,25117,27439,29508,32176,34716,33436
Mizoram,7259,8362,10293,13509,15139,17192,19385,21879,25149,NA
Nagaland,12177,14121,16612,18401,19524,21722,24393,26527,29536,NA
Odisha,230987,261700,296475,314250,328550,392804,440804,498286,547959,545069
Punjab,266628,297734,332147,355102,390087,426988,471014,512511,539687,529703
Rajasthan,434837,493551,551031,615642,681482,760587,828661,921789,998999,957912
Sikkim,11165,12338,13862,15407,18034,20687,25971,28402,30809,32724
Tamil Nadu,751486,854825,968530,1072678,1176500,1302639,1465051,1630209,1797229,1902689
Telangana,359434,401594,451580,505849,577902,658325,750050,860078,957207,980407
Tripura,19208,21663,25593,29533,35938,39479,43716,49823,55857,58880
Uttar Pradesh,724050,822393,940356,1011790,1137808,1288700,1416006,1584764,1687818,1705593
Uttarakhand,115328,131613,149074,161439,177163,195125,219954,236768,253666,NA
West Bengal,520485,591464,676848,718082,797300,872527,974700,1102283,1207823,1301017
Andaman & Nicobar Islands,3978,4421,5023,5477,6032,6836,7890,9003,9719,NA
Chandigarh,18768,21609,24822,26549,29275,32427,36344,39825,43674,NA
Delhi,343798,391388,443960,494803,550804,616085,677900,750962,830872,798310
Puducherry,16818,18875,21870,22574,26617,29573,32130,36555,37959,36402
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
