state,year,amount_spent,gsdp,Region,atc_losses,population,business_ease,avg_business_ease,hdi,state_category,points,csr_pc
ANDHRA PRADESH,2014-15,414.27,93903.0,Southern,13.13,49577103.0,,89.06666666666666,0.618,Big States,5.05,8.356075182529321e-06
ANDHRA PRADESH,2015-16,1294.28,108002.0,Southern,12.88,49577103.0,70.12,89.06666666666666,0.627,Big States,5.05,2.6106406419108434e-05
ANDHRA PRADESH,2016-17,753.52,120676.0,Southern,12.58,49577103.0,98.78,89.06666666666666,0.633,Big States,5.05,1.5198951822578258e-05
ANDHRA PRADESH,2017-18,578.22,138299.0,Southern,12.28,49577103.0,98.3,89.06666666666666,0.644,Big States,5.05,1.1663045337683406e-05
ANDHRA PRADESH,2018-19,668.72,152286.0,Southern,12.0,49577103.0,,89.06666666666666,0.646,Big States,5.05,1.3488484795087765e-05
ANDHRA PRADESH,2019-20,720.61,168480.0,Southern,12.0,49577103.0,,89.06666666666666,0.649,Big States,5.05,1.4535137319338728e-05
ANDHRA PRADESH,2020-21,588.67,170215.0,Southern,12.0,49577103.0,,89.06666666666666,,Big States,5.05,1.1873828125858826e-05
ARUNACHAL PRADESH,2014-15,11.04,114789.0,North Eastern,53.26,1383727.0,,0.765,0.67,NE & Hill,3.03,7.978452397040745e-06
ARUNACHAL PRADESH,2015-16,1.48,116985.0,North Eastern,49.76,1383727.0,1.23,0.765,0.66,NE & Hill,3.03,1.0695751401829984e-06
ARUNACHAL PRADESH,2016-17,24.04,124129.0,North Eastern,46.26,1383727.0,0.3,0.765,0.644,NE & Hill,3.03,1.7373369168918435e-05
ARUNACHAL PRADESH,2017-18,12.23,138836.0,North Eastern,42.76,1383727.0,,0.765,0.655,NE & Hill,3.03,8.83844862462032e-06
ARUNACHAL PRADESH,2018-19,24.55,154652.0,North Eastern,39.26,1383727.0,,0.765,0.657,NE & Hill,3.03,1.7741938980738254e-05
ARUNACHAL PRADESH,2019-20,18.02,169742.0,North Eastern,36.0,1383727.0,,0.765,0.661,NE & Hill,3.03,1.3022800017633535e-05
ARUNACHAL PRADESH,2020-21,6.42,,North Eastern,33.0,1383727.0,,0.765,,NE & Hill,3.03,4.639643513496521e-06
ASSAM,2014-15,134.78,52895.0,North Eastern,28.35,31205576.0,,37.839999999999996,0.59,NE & Hill,4.07,4.319099894198396e-06
ASSAM,2015-16,164.6,60817.0,North Eastern,26.85,31205576.0,14.48,37.839999999999996,0.595,NE & Hill,4.07,5.27469834237317e-06
ASSAM,2016-17,269.91,66330.0,North Eastern,25.35,31205576.0,14.29,37.839999999999996,0.598,NE & Hill,4.07,8.649415732624195e-06
ASSAM,2017-18,213.59,75151.0,North Eastern,23.85,31205576.0,84.75,37.839999999999996,0.608,NE & Hill,4.07,6.844610078660301e-06
ASSAM,2018-19,210.22,81034.0,North Eastern,22.0,31205576.0,,37.839999999999996,0.61,NE & Hill,4.07,6.736616558527874e-06
ASSAM,2019-20,288.48,86801.0,North Eastern,20.0,31205576.0,,37.839999999999996,0.613,NE & Hill,4.07,9.244501687775288e-06
ASSAM,2020-21,160.77,,North Eastern,18.5,31205576.0,,37.839999999999996,,NE & Hill,4.07,5.151963866970441e-06
BIHAR,2014-15,36.68,28671.0,Eastern,46.63,104099452.0,,58.04666666666666,0.546,Big States,4.4,3.523553611021891e-07
BIHAR,2015-16,124.61,30404.0,Eastern,42.63,104099452.0,16.41,58.04666666666666,0.554,Big States,4.4,1.1970283955001032e-06
BIHAR,2016-17,100.81,34045.0,Eastern,38.13,104099452.0,75.82,58.04666666666666,0.559,Big States,4.4,9.684008711208201e-07
BIHAR,2017-18,107.72,36850.0,Eastern,34.0,104099452.0,81.91,58.04666666666666,0.569,Big States,4.4,1.0347797027788388e-06
BIHAR,2018-19,140.13,40715.0,Eastern,30.0,104099452.0,,58.04666666666666,0.571,Big States,4.4,1.3461165962718035e-06
BIHAR,2019-20,144.15,45071.0,Eastern,27.0,104099452.0,,58.04666666666666,0.574,Big States,4.4,1.3847335142551952e-06
BIHAR,2020-21,56.29,46292.0,Eastern,24.0,104099452.0,,58.04666666666666,,Big States,4.4,5.407329137525143e-07
CHANDIGARH,2014-15,1.77,212594.0,,,1055450.0,,7.293333333333333,0.703,UTs,4.68,1.6770098062437822e-06
CHANDIGARH,2015-16,5.34,230009.0,,,1055450.0,10.04,7.293333333333333,0.732,UTs,4.68,5.059453313752428e-06
CHANDIGARH,2016-17,21.98,252236.0,,,1055450.0,0.3,7.293333333333333,0.758,UTs,4.68,2.082524041877872e-05
CHANDIGARH,2017-18,20.54,280512.0,,,1055450.0,11.54,7.293333333333333,0.77,UTs,4.68,1.946089345776683e-05
CHANDIGARH,2018-19,11.94,305140.0,,,1055450.0,,7.293333333333333,0.772,UTs,4.68,1.1312710218390259e-05
CHANDIGARH,2019-20,15.72,330015.0,,,1055450.0,,7.293333333333333,0.776,UTs,4.68,1.4894120991046473e-05
CHANDIGARH,2020-21,7.2,,,,1055450.0,,7.293333333333333,,UTs,4.68,6.8217348050594534e-06
CHHATTISGARH,2014-15,161.3,72936.0,,,25545198.0,,85.69333333333333,0.582,Big States,5.05,6.31429828807747e-06
CHHATTISGARH,2015-16,241.16,72991.0,,,25545198.0,62.45,85.69333333333333,0.59,Big States,5.05,9.44052185463585e-06
CHHATTISGARH,2016-17,84.94,83285.0,,,25545198.0,97.32,85.69333333333333,0.596,Big States,5.05,3.3250867736472428e-06
CHHATTISGARH,2017-18,176.93,89690.0,,,25545198.0,97.31,85.69333333333333,0.606,Big States,5.05,6.926154966581195e-06
CHHATTISGARH,2018-19,150.3,98254.0,,,25545198.0,,85.69333333333333,0.608,Big States,5.05,5.883688981388988e-06
CHHATTISGARH,2019-20,261.61,105089.0,,,25545198.0,,85.69333333333333,0.611,Big States,5.05,1.0241063702070346e-05
CHHATTISGARH,2020-21,283.14,104943.0,,,25545198.0,,85.69333333333333,,Big States,5.05,1.1083883554161528e-05
DADRA & NAGAR HAVELI,2014-15,4.41,,,,,,11.834999999999999,0.671,UTs,3.12,
DADRA & NAGAR HAVELI,2015-16,12.02,,,,,,11.834999999999999,0.661,UTs,3.12,
DADRA & NAGAR HAVELI,2016-17,7.57,,,,,1.79,11.834999999999999,0.647,UTs,3.12,
DADRA & NAGAR HAVELI,2017-18,7.03,,,,,21.88,11.834999999999999,0.658,UTs,3.12,
DADRA & NAGAR HAVELI,2018-19,13.47,,,,,,11.834999999999999,0.66,UTs,3.12,
DADRA & NAGAR HAVELI,2019-20,19.11,,,,,,11.834999999999999,0.663,UTs,3.12,
DADRA & NAGAR HAVELI,2020-21,7.01,,,,,,11.834999999999999,,UTs,3.12,
DAMAN & DIU,2014-15,20.05,,,,,,21.635,0.683,UTs,4.33,
DAMAN & DIU,2015-16,2.42,,,,,,21.635,0.688,UTs,4.33,
DAMAN & DIU,2016-17,2.63,,,,,14.58,21.635,0.692,UTs,4.33,
DAMAN & DIU,2017-18,20.23,,,,,28.69,21.635,0.702,UTs,4.33,
DAMAN & DIU,2018-19,6.25,,,,,,21.635,0.705,UTs,4.33,
DAMAN & DIU,2019-20,9.68,,,,,,21.635,0.708,UTs,4.33,
DAMAN & DIU,2020-21,3.13,,,,,,21.635,,UTs,4.33,
DELHI,2014-15,237.43,247209.0,Northern,14.22,16787941.0,,38.88666666666666,0.725,UTs,4.39,1.4142889827883002e-05
DELHI,2015-16,493.33,270261.0,Northern,13.97,16787941.0,37.35,38.88666666666666,0.728,UTs,4.39,2.9385974134648198e-05
DELHI,2016-17,521.15,295558.0,Northern,13.72,16787941.0,47.62,38.88666666666666,0.729,UTs,4.39,3.104311600809176e-05
DELHI,2017-18,637.87,318323.0,Northern,13.22,16787941.0,31.69,38.88666666666666,0.74,UTs,4.39,3.799572562233808e-05
DELHI,2018-19,815.2,344350.0,Northern,13.0,16787941.0,,38.88666666666666,0.743,UTs,4.39,4.8558664817799876e-05
DELHI,2019-20,936.04,376221.0,Northern,12.5,16787941.0,,38.88666666666666,0.746,UTs,4.39,5.575668868505077e-05
DELHI,2020-21,839.64,354004.0,Northern,12.25,16787941.0,,38.88666666666666,,UTs,4.39,5.0014471697273654e-05
GOA,2014-15,27.11,289185.0,Western,13.64,1458545.0,,32.410000000000004,0.758,Big States,4.29,1.8587016513031824e-05
GOA,2015-16,30.15,334576.0,Western,13.39,1458545.0,21.74,32.410000000000004,0.753,Big States,4.29,2.0671285424858335e-05
GOA,2016-17,37.88,378953.0,Western,13.14,1458545.0,18.15,32.410000000000004,0.745,Big States,4.29,2.5971087624996146e-05
GOA,2017-18,55.93,411740.0,Western,12.64,1458545.0,57.34,32.410000000000004,0.756,Big States,4.29,3.834643428896606e-05
GOA,2018-19,49.45,423716.0,Western,12.0,1458545.0,,32.410000000000004,0.759,Big States,4.29,3.390365055586218e-05
GOA,2019-20,48.52,435959.0,Western,12.0,1458545.0,,32.410000000000004,0.763,Big States,4.29,3.3266028816388935e-05
GOA,2020-21,32.53,,Western,12.0,1458545.0,,32.410000000000004,,Big States,4.29,2.2303048586090934e-05
GUJARAT,2014-15,313.44,127017.0,Western,21.58,60439692.0,,89.11333333333333,0.639,Big States,5.04,5.185995984228378e-06
GUJARAT,2015-16,551.42,139254.0,Western,20.41,60439692.0,71.14,89.11333333333333,0.649,Big States,5.04,9.123474686138374e-06
GUJARAT,2016-17,870.84,156295.0,Western,19.29,60439692.0,98.21,89.11333333333333,0.656,Big States,5.04,1.4408412273179684e-05
GUJARAT,2017-18,983.77,176961.0,Western,18.24,60439692.0,97.99,89.11333333333333,0.667,Big States,5.04,1.6276886387839302e-05
GUJARAT,2018-19,1091.78,197457.0,Western,17.25,60439692.0,,89.11333333333333,0.669,Big States,5.04,1.8063957043328413e-05
GUJARAT,2019-20,995.59,213936.0,Western,16.31,60439692.0,,89.11333333333333,0.672,Big States,5.04,1.6472453234870886e-05
GUJARAT,2020-21,1168.19,,Western,15.42,60439692.0,,89.11333333333333,,Big States,5.04,1.9328192473250857e-05
HARYANA,2014-15,187.4,147382.0,Northern,27.55,25351462.0,,78.55666666666667,0.674,Big States,5.0,7.392078610693143e-06
HARYANA,2015-16,375.61,164963.0,Northern,24.55,25351462.0,40.66,78.55666666666667,0.684,Big States,5.0,1.4816108041421833e-05
HARYANA,2016-17,390.07,184982.0,Northern,21.55,25351462.0,96.95,78.55666666666667,0.691,Big States,5.0,1.538648934724159e-05
HARYANA,2017-18,369.84,210592.0,Northern,19.55,25351462.0,98.06,78.55666666666667,0.702,Big States,5.0,1.4588507755489604e-05
HARYANA,2018-19,381.4,226409.0,Northern,18.0,25351462.0,,78.55666666666667,0.705,Big States,5.0,1.5044497236490738e-05
HARYANA,2019-20,528.8,247628.0,Northern,17.0,25351462.0,,78.55666666666667,0.708,Big States,5.0,2.085875757382355e-05
HARYANA,2020-21,398.45,239535.0,Northern,16.0,25351462.0,,78.55666666666667,,Big States,5.0,1.571704227551058e-05
HIMACHAL PRADESH,2014-15,10.94,123299.0,Northern,13.5,6864602.0,,59.11000000000001,0.694,NE & Hill,5.22,1.5936830715021787e-06
HIMACHAL PRADESH,2015-16,52.28,135512.0,Northern,12.5,6864602.0,23.95,59.11000000000001,0.702,NE & Hill,5.22,7.615882173504014e-06
HIMACHAL PRADESH,2016-17,24.03,150290.0,Northern,11.5,6864602.0,65.48,59.11000000000001,0.708,NE & Hill,5.22,3.500567112266669e-06
HIMACHAL PRADESH,2017-18,69.97,165497.0,Northern,10.5,6864602.0,87.9,59.11000000000001,0.719,NE & Hill,5.22,1.0192870613620425e-05
HIMACHAL PRADESH,2018-19,81.24,176459.0,Northern,10.0,6864602.0,,59.11000000000001,0.721,NE & Hill,5.22,1.1834626392032633e-05
HIMACHAL PRADESH,2019-20,82.09,190407.0,Northern,10.0,6864602.0,,59.11000000000001,0.725,NE & Hill,5.22,1.1958450031043314e-05
HIMACHAL PRADESH,2020-21,98.59,183286.0,Northern,10.0,6864602.0,,59.11000000000001,,NE & Hill,5.22,1.4362085376544773e-05
JAMMU & KASHMIR,2014-15,43.7,61211.0,Northern,51.87,12267032.0,,,0.67,NE & Hill,4.04,3.5623939026163788e-06
JAMMU & KASHMIR,2015-16,107.8,73215.0,Northern,47.87,12267032.0,,,0.672,NE & Hill,4.04,8.787781755195552e-06
JAMMU & KASHMIR,2016-17,42.84,76634.0,Northern,43.87,12267032.0,,,0.672,NE & Hill,4.04,3.492287294921869e-06
JAMMU & KASHMIR,2017-18,51.75,84471.0,Northern,39.87,12267032.0,,,0.682,NE & Hill,4.04,4.218624358361501e-06
JAMMU & KASHMIR,2018-19,36.54,95448.0,Northern,35.0,12267032.0,,,0.685,NE & Hill,4.04,2.9787156339039466e-06
