State,States_category,points
ANDAMAN & NICOBAR ISLANDS,UTs,4.12
Andhra Pradesh,Big States,5.05
Arunachal Pradesh,NE & Hill,3.03
Assam,NE & Hill,4.07
Bihar,Big States,4.4
Chandigarh,UTs,4.68
Chhattisgarh,Big States,5.05
Dadra & Nagar Haveli,UTs,3.12
Daman & Diu,UTs,4.33
Delhi,UTs,4.39
Goa,Big States,4.29
Gujarat,Big States,5.04
Haryana,Big States,5.0
Himachal Pradesh,NE & Hill,5.22
JAMMU & KASHMIR,NE & Hill,4.04
Jharkhand,Big States,4.23
Karnataka,Big States,5.1
Kerala,Big States,4.98
Lakshadweep,UTs,2.97
Madhya Pradesh,Big States,4.85
Maharashtra,Big States,5.4
Manipur,NE & Hill,3.93
Meghalaya,NE & Hill,3.81
Mizoram,NE & Hill,4.41
Nagaland,NE & Hill,3.55
Orissa,Big States,4.44
Pondicherry,UTs,4.69
Punjab,Big States,4.57
Rajasthan,Big States,4.8
Sikkim,NE & Hill,4.21
Tamil Nadu,Big States,5.62
Telangana,Big States,4.83
Tripura,NE & Hill,4.5
Uttar Pradesh,Big States,4.25
Uttarakhand,NE & Hill,4.87
West Bengal,Big States,4.84
