year,ANDHRA PRADESH,ARUNACHAL PRADESH,ASSAM,BIHAR,JHARKHAND,GOA,GUJARAT,HARYANA,HIMACHAL PRADESH,JAMMU & KASHMIR,KARNATAKA,KERALA,MADHYA PRADESH,CHHATTISGARH,MAHARASHTRA,MANIPUR,MEGHALAYA,MIZORAM,NAGALAND,ORISSA,PUNJAB,RAJASTHAN,SIKKIM,TAMIL NADU,TRIPURA,UTTAR PRADESH,UTTARAKHAND,WEST BENGAL,ANDAMAN & NICOBAR ISLANDS,CHANDIGARH,DELHI,PUDUCHERRY,ALL-INDIA PER CAPITA NNP,TELANGANA
2020-21   ,170215,-,-,46292,75587,-,-,239535,183286,104860,226796,-,98418,104943,-,-,82182,-,-,109730,151367,109386,424454,225106,129995,65431,-,121267,-,-,354004,210467,128829,237632
2019-20   ,168480,169742,86801,45071,77739,435959,213936,247628,190407,102789,223175,221904,103288,105089,202130,84746,87170,187327,120518,110434,155491,115492,403376,213396,125675,65704,202895,113163,218649,330015,376221,221493,134186,233325
2018-19   ,152286,154652,81034,40715,75421,423716,197457,226409,176459,95448,205697,205657,90487,98254,187118,75229,82653,164429,109198,100771,149974,107890,375773,194373,113016,62652,191450,103944,204254,305140,344350,219785,125883,210563
2017-18   ,138299,138836,75151,36850,67484,411740,176961,210592,165497,84471,186405,183252,81973,89690,172663,71507,77504,155222,102003,89353,139835,98188,349163,175276,100444,56861,180613,91401,178709,280512,318323,198364,115224,179358
2016-17   ,120676,124129,66330,34045,60018,378953,156295,184982,150290,76634,169898,166246,74324,83285,163726,59345,73753,127107,91347,79181,128780,91924,280729,156595,91596,52671,161752,82291,153904,252236,295558,187357,103870,159395
2015-16   ,108002,116985,60817,30404,52754,334576,139254,164963,135512,73215,148108,148133,62080,72991,146815,55447,68836,114055,82466,65993,118858,83426,245987,142028,84267,47118,147936,75992,137064,230009,270261,172727,94797,140840
2014-15   ,93903,114789,52895,28671,57301,289185,127017,147382,123299,61211,130024,135537,55678,72936,132836,52717,64638,103049,78367,64233,108970,76429,214148,129494,69857,42267,136099,68876,126344,212594,247209,146921,86647,124104
2013-14   ,82870,94135,49734,26948,50006,215776,113139,137770,114095,61108,118829,123388,51849,69880,125261,47798,65118,77584,71510,61305,103831,69480,194624,116960,61815,40124,126356,65932,111087,203356,227900,148147,79118,112162
2012-13   ,74687,82626,44599,24487,47360,234354,102826,121269,99730,56828,102319,110314,44773,60849,112092,41230,64036,65013,61225,55105,94318,63658,174183,105340,52574,35812,113654,58195,98777,180457,205568,130548,70983,101007
2011-12   ,69000,73540,41142,21750,41254,259444,87481,106085,87721,53173,90263,97912,38497,55177,99597,39762,60013,57654,53010,48499,85577,57192,158667,93112,47155,32002,100314,51543,89100,158967,185001,119649,63462,91121
