sector,is_rent_seeking,level2
"Agriculture, Hunting and related Service activities",,
"Forestry, logging and related Service activities",,
"Fishing, Operation of fish hatcheries and fish farms; Service activities incidental to fishing",,
"Mining of coal and lignite, extraction of peat",1,
"Extraction of crude petroleum and natural gas, service activities incidental to oil and gas extraction excluding surveying",1,
Mining of metal ores,1,
Other Mining and Quarrying,1,
Manufacture of food products and beverages,,
Manufacture of tobacco products,,
Manufacture of textiles,,
"Manufacture of wearing apparel, dressing and dyeing of fur",,
"Tanning and dressing of leather, manufacture of luggage handbags, saddlery & harness and footwear",,
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plating materials",,
Manufacture of paper and paper products,,
"Publishing, printing and reproduction of recorded media",,
"Manufacture of coke, refined petroleum products and nuclear fuel",1,
Manufacture of chemicals and chemical products,,
Manufacture of rubber and plastic products,,
Manufacture of other non-metallic mineral products,1,
Manufacture of basic metals,,
"Manufacture of fabricated metal products, except machinery and equipments",,
Manufacture of machinery and equipment n.e.c,,
"Manufacture of office, accounting and computing machinery",,
Manufacture of electrical machinery and apparatus n.e.c,,
"Manufacture of radio, television and communication equipment and apparatus",,
"Manufacture of medical, precision and optical instruments, watches and clocks",,
"Manufacture of motor vehicles, trailers and semi-trailers",,
Manufacture of other transport equipment,,
Manufacture of furniture; manufacturing n.e.c,,
Recycling,,
"Electricity, gas, steam and hot water supply",1,
Construction,1,
"Sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel",,
"Wholesale trade and commission trade, except of motor vehicles and motorcycles",,
"Retail trade, except of motor vehicles and motorcycles, repair of personal and household goods",,
Hotels and Restaurants,,
Land transport; transport via pipelines,,1
Water Transport,,1
Air Transpor,,1
"Supporting and auxiliary transport activities, activities of travel agencies",,
Post and telecommunications,1,
"Financial intermediation, except insurance and pension funding",,
Activities auxiliary to financial intermediation,,
Real estate activities,1,
Renting of machinery and equipment without operator and of personal and household goods,,
Computer and related activities,,
Other Business Activities,,
Education,,
Health and Social Work,,
Activities of membership organizations n.e.c.,,
"Recreational, cultural and sporting activities",,
Other Service activities,,
Extra territorial organizations and bodies,,
Mining of uranium and thorium ores,1,
"Collection, purification and distribution of water",,
Research and Development,,
"Sewage and refuse disposal, sanitation and similar activities",,
"Insurance and pension funding, except compulsory social security",,
"Public Administration and Defence, compulsory social security",,
